anio,tipo_hogar,num_integrantes,linea_pobreza_pesos
2009,No arrendatario,1,117434.30897565308
2009,No arrendatario,2,190772.59775982558
2009,No arrendatario,3,253384.4008918113
2009,No arrendatario,4,309910.9993790451
2009,No arrendatario,5,362304.72641551157
2009,No arrendatario,6,411624.1736473255
2011,No arrendatario,1,126926.9528271263
2011,No arrendatario,2,206193.44319205638
2011,No arrendatario,3,273866.3869158747
2011,No arrendatario,4,334962.23669138225
2011,No arrendatario,5,391591.1399310109
2011,No arrendatario,6,444897.2581076864
2013,No arrendatario,1,135232.2018976835
2013,No arrendatario,2,219685.36011184735
2013,No arrendatario,3,291786.36769795354
2013,No arrendatario,4,356879.9203904611
2013,No arrendatario,5,417214.23950529925
2013,No arrendatario,6,474008.35277348885
2015,No arrendatario,1,150240.77110952442
2015,No arrendatario,2,244066.85272823976
2015,No arrendatario,3,324169.8964227152
2015,No arrendatario,4,396487.7719992743
2015,No arrendatario,5,463518.21667871333
2015,No arrendatario,6,526615.550391806
2017,No arrendatario,1,157832.39978922633
2017,No arrendatario,2,256399.48990290897
2017,No arrendatario,3,340550.1204098821
2017,No arrendatario,4,416522.20019630843
2017,No arrendatario,5,486939.6765215757
2017,No arrendatario,6,553225.3027646625
2020,No arrendatario,1,173271.25546938484
2020,No arrendatario,2,281479.9849493226
2020,No arrendatario,3,373862.06502892135
2020,No arrendatario,4,457265.5846028088
2020,No arrendatario,5,534571.1603031005
2020,No arrendatario,6,607340.7164528642
2022,No arrendatario,1,215355.394963153
2022,No arrendatario,2,349845.87125412916
2022,No arrendatario,3,464665.71998879046
2022,No arrendatario,4,568326.294563003
2022,No arrendatario,5,664407.856058538
2022,No arrendatario,6,754851.689130981
2024,No arrendatario,1,237093.8861138574
2024,No arrendatario,2,385160.15431478614
2024,No arrendatario,3,511570.19453766494
2024,No arrendatario,4,625694.516646245
2024,No arrendatario,5,731474.7818806574
2024,No arrendatario,6,831048.2328352877
2009,Arrendatario,1,177148.08816056975
2009,Arrendatario,2,287777.9182366969
2009,Arrendatario,3,382226.98783029226
2009,Arrendatario,4,467496.60741233174
2009,Arrendatario,5,546531.8455559057
2009,Arrendatario,6,620929.573634361
2011,Arrendatario,1,190305.86134426543
2011,Arrendatario,2,309152.7838350342
2011,Arrendatario,3,410617.110821626
2011,Arrendatario,4,502220.1790204155
2011,Arrendatario,5,587125.8036175532
2011,Arrendatario,6,667049.4644994792
2013,Arrendatario,1,203874.92297757836
2013,Arrendatario,2,331195.78949096194
2013,Arrendatario,3,439894.65826590714
2013,Arrendatario,4,538029.1473542583
2013,Arrendatario,5,628988.6561829981
2013,Arrendatario,6,714610.9806415807
2015,Arrendatario,1,227078.2240081525
2015,Arrendatario,2,368889.6632218798
2015,Arrendatario,3,489959.70809357974
2015,Arrendatario,4,599263.0258860331
2015,Arrendatario,5,700574.7684967497
2015,Arrendatario,6,795941.8940340235
2017,Arrendatario,1,240632.34903284302
2017,Arrendatario,2,390908.4042855136
2017,Arrendatario,3,519205.02727628936
2017,Arrendatario,4,635032.5762734012
2017,Arrendatario,5,742391.5390956234
2017,Arrendatario,6,843451.0552107412
2020,Arrendatario,1,266965.9348766354
2020,Arrendatario,2,433687.44069805957
2020,Arrendatario,3,576024.196483014
2020,Arrendatario,4,704527.3259532034
2020,Arrendatario,5,823635.1100579442
2020,Arrendatario,6,935754.0679050062
2022,Arrendatario,1,317025.72737606376
2022,Arrendatario,2,515009.8135355728
2022,Arrendatario,3,684036.6729209331
2022,Arrendatario,4,836635.9103824941
2022,Arrendatario,5,978078.0457223665
2022,Arrendatario,6,1111220.8535511487
2024,Arrendatario,1,352358.9470353024
2024,Arrendatario,2,572408.7982139685
2024,Arrendatario,3,760274.0755422667
2024,Arrendatario,4,929880.8360893775
2024,Arrendatario,5,1087087.0107657395
2024,Arrendatario,6,1235068.8794934554
