anio,region,indice,valor,error_estandar
2009,Arica y Parinacota,FGT0_incidencia,27.67743146826887,3.517099922499761
2011,Arica y Parinacota,FGT0_incidencia,38.65208343768356,2.3308829002230915
2013,Arica y Parinacota,FGT0_incidencia,31.640495227126753,1.7063148948671942
2015,Arica y Parinacota,FGT0_incidencia,27.123991195891417,2.0078007587238824
2017,Arica y Parinacota,FGT0_incidencia,26.502551106038734,1.5145727070922657
2020,Arica y Parinacota,FGT0_incidencia,32.790619500523995,1.6348309825700764
2022,Arica y Parinacota,FGT0_incidencia,25.30370025599255,1.3026921884062355
2024,Arica y Parinacota,FGT0_incidencia,21.43323869606918,1.1942051220155796
2009,Tarapacá,FGT0_incidencia,38.92162680614399,2.505357451006097
2011,Tarapacá,FGT0_incidencia,30.66647363849333,1.8676695533247751
2013,Tarapacá,FGT0_incidencia,22.416242695354953,1.5316473406327562
2015,Tarapacá,FGT0_incidencia,22.183310318570648,1.5366587519939223
2017,Tarapacá,FGT0_incidencia,23.099981858652992,1.2211777249446656
2020,Tarapacá,FGT0_incidencia,30.772258664311813,1.6039851266491303
2022,Tarapacá,FGT0_incidencia,26.787654612205365,1.4251559965704854
2024,Tarapacá,FGT0_incidencia,20.809786844027077,1.2616480080010029
2009,Antofagasta,FGT0_incidencia,20.832465545844315,2.1895725426991293
2011,Antofagasta,FGT0_incidencia,20.25164957482667,1.2536636275206088
2013,Antofagasta,FGT0_incidencia,16.344228241977195,1.1965638811378208
2015,Antofagasta,FGT0_incidencia,15.85126557814939,1.6462449235505476
2017,Antofagasta,FGT0_incidencia,16.53401870312547,1.5078181507406245
2020,Antofagasta,FGT0_incidencia,26.88333927114339,1.3259387322514236
2022,Antofagasta,FGT0_incidencia,19.53641545638192,1.0260130747294176
2024,Antofagasta,FGT0_incidencia,16.387729549248746,0.8341073537865562
2009,Atacama,FGT0_incidencia,32.09630970067806,3.336280540945593
2011,Atacama,FGT0_incidencia,29.050154201340433,1.421060786366472
2013,Atacama,FGT0_incidencia,18.516177444869594,1.4076887908469096
2015,Atacama,FGT0_incidencia,19.988571314664267,0.9576877523948887
2017,Atacama,FGT0_incidencia,22.158646914000045,1.3483227627034624
2020,Atacama,FGT0_incidencia,26.163128009866178,1.1529853604100102
2022,Atacama,FGT0_incidencia,21.19089427012493,1.000294400644574
2024,Atacama,FGT0_incidencia,18.577361436377828,0.8520699764302672
2009,Coquimbo,FGT0_incidencia,42.25418944509951,1.975708592430519
2011,Coquimbo,FGT0_incidencia,39.41275311531861,1.751210329439024
2013,Coquimbo,FGT0_incidencia,27.856083631632504,1.5534961114485235
2015,Coquimbo,FGT0_incidencia,29.306000056919174,1.143405324537271
2017,Coquimbo,FGT0_incidencia,32.052842779205555,1.205938650592411
2020,Coquimbo,FGT0_incidencia,30.595094936144246,1.5708165461177555
2022,Coquimbo,FGT0_incidencia,24.26274359776951,1.0245453429279603
2024,Coquimbo,FGT0_incidencia,20.674026491746243,0.8794877786390352
2009,Valparaíso,FGT0_incidencia,37.41710641012993,1.5039656685511866
2011,Valparaíso,FGT0_incidencia,38.47127064098112,1.4793941846756329
2013,Valparaíso,FGT0_incidencia,28.871476069295028,1.340844550788749
2015,Valparaíso,FGT0_incidencia,25.307818448149956,0.8172584194088716
2017,Valparaíso,FGT0_incidencia,20.969702728311677,0.7218185437160844
2020,Valparaíso,FGT0_incidencia,30.36743541488104,0.8572028206941428
2022,Valparaíso,FGT0_incidencia,20.94496052043651,0.6415940098587533
2024,Valparaíso,FGT0_incidencia,17.789007671024855,0.6172810628849963
2009,Metropolitana,FGT0_incidencia,30.315061982797527,0.8462363771499877
2011,Metropolitana,FGT0_incidencia,29.30263271765112,1.1483173935947215
2013,Metropolitana,FGT0_incidencia,22.212342678523797,0.7464262205824104
2015,Metropolitana,FGT0_incidencia,18.48164560075227,0.5984514701566572
2017,Metropolitana,FGT0_incidencia,16.761805107521027,0.6404041885754629
2020,Metropolitana,FGT0_incidencia,24.365356669900688,0.7135752304998118
2022,Metropolitana,FGT0_incidencia,16.533146339992246,0.4423779347580213
2024,Metropolitana,FGT0_incidencia,13.340809368804768,0.364628453373554
2009,O'Higgins,FGT0_incidencia,36.139319772625825,1.3718047105138091
2011,O'Higgins,FGT0_incidencia,30.941227787365587,2.3254745211648107
2013,O'Higgins,FGT0_incidencia,28.7073065283182,1.5558129734366715
2015,O'Higgins,FGT0_incidencia,26.7916137773048,1.099795377931884
2017,O'Higgins,FGT0_incidencia,25.11122997886448,0.9301731910791324
2020,O'Higgins,FGT0_incidencia,27.583808288853373,1.8400485395734503
2022,O'Higgins,FGT0_incidencia,21.05902108954413,0.742979129532893
2024,O'Higgins,FGT0_incidencia,17.855038474777,0.7006465809386744
2009,Maule,FGT0_incidencia,48.416963367198036,2.1520344668035065
2011,Maule,FGT0_incidencia,43.29346223487436,1.5182560714580364
2013,Maule,FGT0_incidencia,35.18135919813523,1.3046813234115873
2015,Maule,FGT0_incidencia,32.11491025433067,0.9355922006071956
2017,Maule,FGT0_incidencia,27.675452625900032,0.8936268302602329
2020,Maule,FGT0_incidencia,31.362192506167702,1.0682367831336066
2022,Maule,FGT0_incidencia,26.127043599969223,0.8245332769016609
2024,Maule,FGT0_incidencia,24.340834480657726,0.7618663870086538
2017,Ñuble,FGT0_incidencia,34.560445038183154,1.2174546117109382
2020,Ñuble,FGT0_incidencia,36.0842822335065,1.538289871117515
2022,Ñuble,FGT0_incidencia,29.648465330190042,1.028507166808007
2024,Ñuble,FGT0_incidencia,23.898441672297523,0.8604013206624314
2009,Biobío,FGT0_incidencia,47.12442783952697,1.1872978643802636
2011,Biobío,FGT0_incidencia,45.6927573276652,2.4131696293042952
2013,Biobío,FGT0_incidencia,36.41753167656505,1.334294581983162
2015,Biobío,FGT0_incidencia,32.513780712535066,0.8174827260845958
2017,Biobío,FGT0_incidencia,28.690132175735716,1.07738421596709
2020,Biobío,FGT0_incidencia,31.911749784003597,1.0201339524205686
2022,Biobío,FGT0_incidencia,22.01592002079116,0.6532079402888571
2024,Biobío,FGT0_incidencia,19.27361721796224,0.566253933128707
2009,Araucanía,FGT0_incidencia,60.65339690334527,1.6162854640879292
2011,Araucanía,FGT0_incidencia,51.24476727036136,1.889210743979997
2013,Araucanía,FGT0_incidencia,40.21288252328403,1.1875176291917944
2015,Araucanía,FGT0_incidencia,38.44899012895777,0.9938901016189099
2017,Araucanía,FGT0_incidencia,34.785872039992896,0.9848129529494001
