anio,region,categoria,porcentaje,error_estandar
2009,Arica y Parinacota,Pobreza extrema,15.50460010766983,2.0771143957972527
2011,Arica y Parinacota,Pobreza extrema,20.412270724773407,2.28559747338295
2013,Arica y Parinacota,Pobreza extrema,15.63730537891388,1.0432841256260872
2015,Arica y Parinacota,Pobreza extrema,11.328384280204773,1.466355286538601
2017,Arica y Parinacota,Pobreza extrema,10.525830090045929,0.8798557333648205
2020,Arica y Parinacota,Pobreza extrema,16.741344332695007,1.0200319811701775
2022,Arica y Parinacota,Pobreza extrema,11.536730825901031,0.8423914201557636
2024,Arica y Parinacota,Pobreza extrema,9.854375571012497,0.9283225052058697
2009,Arica y Parinacota,Pobreza no extrema,12.172831594944,2.3016685619950294
2011,Arica y Parinacota,Pobreza no extrema,18.239812552928925,1.6667746007442474
2013,Arica y Parinacota,Pobreza no extrema,16.003189980983734,1.0582329705357552
2015,Arica y Parinacota,Pobreza no extrema,15.7956063747406,1.603996381163597
2017,Arica y Parinacota,Pobreza no extrema,15.976721048355103,1.0212335735559464
2020,Arica y Parinacota,Pobreza no extrema,16.049274802207947,1.1725695803761482
2022,Arica y Parinacota,Pobreza no extrema,13.766969740390778,0.9192479774355888
2024,Arica y Parinacota,Pobreza no extrema,11.578863114118576,0.7273587863892317
2009,Arica y Parinacota,Pobreza total,27.67743170261383,3.517099842429161
2011,Arica y Parinacota,Pobreza total,38.65208327770233,2.3308828473091125
2013,Arica y Parinacota,Pobreza total,31.640493869781494,1.7063148319721222
2015,Arica y Parinacota,Pobreza total,27.123990654945374,2.0078007131814957
2017,Arica y Parinacota,Pobreza total,26.502549648284912,1.5145727433264256
2020,Arica y Parinacota,Pobreza total,32.790619134902954,1.6348309814929962
2022,Arica y Parinacota,Pobreza total,25.30370056629181,1.3026922009885311
2024,Arica y Parinacota,Pobreza total,21.433238685131073,1.1942051351070404
2009,Arica y Parinacota,No pobreza,72.32257127761841,3.517099842429161
2011,Arica y Parinacota,No pobreza,61.34791374206543,2.3308828473091125
2013,Arica y Parinacota,No pobreza,68.3595061302185,1.7063148319721222
2015,Arica y Parinacota,No pobreza,72.87600636482239,2.0078007131814957
2017,Arica y Parinacota,No pobreza,73.49745035171509,1.5145727433264256
2020,Arica y Parinacota,No pobreza,67.20938086509705,1.6348309814929962
2022,Arica y Parinacota,No pobreza,74.69630241394043,1.3026922009885311
2024,Arica y Parinacota,No pobreza,78.56675982475281,1.1942051351070404
2009,Tarapacá,N,20.046645402908325,2.2707294672727585
2011,Tarapacá,N,15.378312766551971,1.1877348646521568
2013,Tarapacá,N,9.049096703529358,0.8587034419178963
2015,Tarapacá,N,8.9654840528965,1.0341741144657135
2017,Tarapacá,N,8.415569365024567,0.6434276234358549
2020,Tarapacá,N,17.10125207901001,1.1267543770372868
2022,Tarapacá,N,12.64200210571289,1.254944782704115
2024,Tarapacá,N,8.969312906265259,0.7844950072467327
2009,Tarapacá,o,18.87498050928116,2.502814307808876
2011,Tarapacá,o,15.288160741329193,1.0377073660492897
2013,Tarapacá,o,13.367146253585815,1.1041730642318726
2015,Tarapacá,o,13.217826187610626,1.123752910643816
2017,Tarapacá,o,14.684411883354187,0.9790419600903988
2020,Tarapacá,o,13.671006262302399,1.0761278681457043
2022,Tarapacá,o,14.145652949810028,0.7393602281808853
2024,Tarapacá,o,11.840473860502243,0.8450477384030819
2009,Tarapacá, ,38.9216274023056,2.505357377231121
2011,Tarapacá, ,30.666473507881165,1.8676696345210075
2013,Tarapacá, ,22.416242957115173,1.5316473320126534
2015,Tarapacá, ,22.183310985565186,1.5366587787866592
2017,Tarapacá, ,23.099981248378754,1.221177726984024
2020,Tarapacá, ,30.772259831428528,1.6039852052927017
2022,Tarapacá, ,26.7876535654068,1.4251559972763062
2024,Tarapacá, ,20.80978751182556,1.2616479769349098
2009,Tarapacá,p,61.078375577926636,2.505357377231121
2011,Tarapacá,p,69.3335235118866,1.8676696345210075
2013,Tarapacá,p,77.58376002311707,1.5316473320126534
2015,Tarapacá,p,77.81668901443481,1.5366587787866592
2017,Tarapacá,p,76.90001726150513,1.221177726984024
2020,Tarapacá,p,69.22774314880371,1.6039852052927017
2022,Tarapacá,p,73.21234345436096,1.4251559972763062
2024,Tarapacá,p,79.19021248817444,1.2616479769349098
2009,Tarapacá,o,100.0,0.0
2011,Tarapacá,o,100.0,0.0
2013,Tarapacá,o,100.0,0.0
2015,Tarapacá,o,100.0,0.0
2017,Tarapacá,o,100.0,0.0
2020,Tarapacá,o,100.0,0.0
2022,Tarapacá,o,100.0,0.0
2024,Tarapacá,o,100.0,0.0
2009,Tarapacá,b,7.013099640607834,0.9862403385341167
2011,Tarapacá,b,7.121173292398453,0.8342758752405643
2013,Tarapacá,b,5.396074429154396,0.7489780895411968
2015,Tarapacá,b,6.8802908062934875,1.0777736082673073
2017,Tarapacá,b,7.3788560926914215,0.890242587774992
2020,Tarapacá,b,13.35461437702179,1.0603269562125206
2022,Tarapacá,b,8.631754666566849,0.6230177357792854
2024,Tarapacá,b,7.074986398220062,0.5549482069909573
2009,Tarapacá,r,13.819366693496704,1.551022194325924
2011,Tarapacá,r,13.130475580692291,1.3911488465964794
2013,Tarapacá,r,10.948153585195541,1.3702497817575932
2015,Tarapacá,r,8.970974385738373,0.9637855924665928
2017,Tarapacá,r,9.155162423849106,0.8243494667112827
2020,Tarapacá,r,13.528725504875183,0.9838511236011982
2022,Tarapacá,r,10.904660820960999,0.7556470111012459
2024,Tarapacá,r,9.312743693590164,0.6552623584866524
2009,Tarapacá,e,20.83246558904648,2.1895725280046463
2011,Tarapacá,e,20.251649618148804,1.2536636553704739
2013,Tarapacá,e,16.344228386878967,1.196563895791769
2015,Tarapacá,e,15.85126519203186,1.6462448984384537
2017,Tarapacá,e,16.534018516540527,1.5078181400895119
2020,Tarapacá,e,26.883339881896973,1.3259387575089931
2022,Tarapacá,e,19.536414742469788,1.026013121008873
2024,Tarapacá,e,16.387729346752167,0.8341073989868164
2009,Tarapacá,z,79.1675329208374,2.1895725280046463
2011,Tarapacá,z,79.7483503818512,1.2536636553704739
2013,Tarapacá,z,83.65577459335327,1.196563895791769
2015,Tarapacá,z,84.14873480796814,1.6462448984384537
2017,Tarapacá,z,83.46598148345947,1.5078181400895119
2020,Tarapacá,z,73.11666011810303,1.3259387575089931
2022,Tarapacá,z,80.46358227729797,1.026013121008873
2024,Tarapacá,z,83.61226916313171,0.8341073989868164
2009,Tarapacá,a,100.0,0.0
2011,Tarapacá,a,100.0,0.0
2013,Tarapacá,a,100.0,0.0
2015,Tarapacá,a,100.0,0.0
2017,Tarapacá,a,100.0,0.0
2020,Tarapacá,a,100.0,0.0
2022,Tarapacá,a,100.0,0.0
2024,Tarapacá,a,100.0,0.0
2009,Antofagasta,a,7.013099640607834,0.9862403385341167
2011,Antofagasta,a,7.121173292398453,0.8342758752405643
2013,Antofagasta,a,5.396074429154396,0.7489780895411968
2015,Antofagasta,a,6.8802908062934875,1.0777736082673073
2017,Antofagasta,a,7.3788560926914215,0.890242587774992
2020,Antofagasta,a,13.35461437702179,1.0603269562125206
2022,Antofagasta,a,8.631754666566849,0.6230177357792854
2024,Antofagasta,a,7.074986398220062,0.5549482069909573
2009,Atacama,a,18.235331773757935,2.230200916528702
2011,Atacama,a,15.052463114261627,1.2121654115617275
2013,Atacama,a,7.7831558883190155,1.4779595658183098
2015,Atacama,a,8.426661789417267,0.563522893935442
2017,Atacama,a,9.984992444515228,0.8220023475587368
2020,Atacama,a,12.930971384048462,0.9375102818012238
2022,Atacama,a,9.866530448198318,0.7672756910324097
2024,Atacama,a,7.389851659536362,0.6154595874249935
2009,Coquimbo,a,21.376925706863403,1.3212231919169426
2011,Coquimbo,a,19.48065608739853,1.5066574327647686
2013,Coquimbo,a,13.299842178821564,1.2165005318820477
2015,Coquimbo,a,12.118609249591827,0.5376639310270548
2017,Coquimbo,a,14.296682178974152,0.8848805911839008
2020,Coquimbo,a,15.648673474788666,1.1490093544125557
2022,Coquimbo,a,10.810234397649765,0.6799925118684769
2024,Coquimbo,a,9.101328253746033,0.6146215368062258
2009,Valparaíso,a,18.388459086418152,0.9341409429907799
2011,Valparaíso,a,19.09620612859726,1.147356629371643
2013,Valparaíso,a,12.68463283777237,0.7185677997767925
2015,Valparaíso,a,10.789849609136581,0.5184926558285952
2017,Valparaíso,a,7.840444892644882,0.40727569721639156
2020,Valparaíso,a,14.427933096885681,0.676381029188633
2022,Valparaíso,a,8.596788346767426,0.446151290088892
2024,Valparaíso,a,6.772255897521973,0.3822694532573223
2009,Metropolitana,a,15.14957845211029,0.5540942773222923
2011,Metropolitana,a,14.55325037240982,0.6622706539928913
2013,Metropolitana,a,8.714932203292847,0.45673251152038574
2015,Metropolitana,a,7.289282977581024,0.3768715774640441
2017,Metropolitana,a,6.946367025375366,0.374469137750566
2020,Metropolitana,a,12.950395047664642,0.4743100143969059
2022,Metropolitana,a,6.431697309017181,0.26783933863043785
2024,Metropolitana,a,4.970867931842804,0.21435252856463194
2009,O'Higgins,a,17.19554364681244,1.0366933420300484
2011,O'Higgins,a,14.187414944171906,1.172822155058384
2013,O'Higgins,a,11.305772513151169,0.8008602075278759
2015,O'Higgins,a,10.97342073917389,0.6878570653498173
2017,O'Higgins,a,9.733600914478302,0.5801943596452475
2020,O'Higgins,a,12.674427032470703,0.8549206890165806
2022,O'Higgins,a,8.966760337352753,0.4885448142886162
2024,O'Higgins,a,7.035429775714874,0.445855176076293
2009,Maule,a,26.324686408042908,1.457857433706522
2011,Maule,a,20.81030309200287,1.026203017681837
2013,Maule,a,13.389189541339874,0.8289470337331295
2015,Maule,a,12.586207687854767,0.6808031350374222
2017,Maule,a,10.212618112564087,0.5410127341747284
2020,Maule,a,14.53007161617279,0.8993916213512421
2022,Maule,a,10.580511391162872,0.5214001517742872
2024,Maule,a,10.138291865587234,0.5171652417629957
2017,Ñuble,a,14.621856808662415,0.8389424532651901
2020,Ñuble,a,16.905607283115387,1.1788983829319477
2022,Ñuble,a,13.731226325035095,0.7949373684823513
2024,Ñuble,a,10.25824099779129,0.6193635985255241
2009,Biobío,a,26.243504881858826,0.9036500006914139
2011,Biobío,a,25.015151500701904,1.8175730481743813
2013,Biobío,a,17.626027762889862,0.8218841627240181
2015,Biobío,a,14.773321151733398,0.527968117967248
2017,Biobío,a,11.546938866376877,0.6186950020492077
2020,Biobío,a,16.075295209884644,0.7248693145811558
2022,Biobío,a,9.350419044494629,0.4178824834525585
2024,Biobío,a,7.191533595323563,0.34538290929049253
2009,Araucanía,a,37.88270056247711,1.3299879617989063
2011,Araucanía,a,30.623367428779602,1.4279424212872982
2013,Araucanía,a,20.914842188358307,1.0359419509768486
2015,Araucanía,a,17.64042228460312,0.7279372774064541
2017,Araucanía,a,14.705437421798706,0.7122455630451441
2020,Araucanía,a,20.252826809883118,0.8813922293484211
2022,Araucanía,a,13.694164156913757,0.630826922133565
2024,Araucanía,a,12.98769861459732,0.5953099112957716
2009,Los Ríos,a,28.695541620254517,4.563712328672409
2011,Los Ríos,a,23.185038566589355,1.161699090152979
2013,Los Ríos,a,17.850834131240845,1.0438011959195137
2015,Los Ríos,a,13.26436996459961,1.027748268097639
2017,Los Ríos,a,11.80317997932434,0.8178452961146832
2020,Los Ríos,a,16.273868083953857,0.8806546218693256
2022,Los Ríos,a,7.258457690477371,0.47304192557930946
2024,Los Ríos,a,8.46296101808548,0.5891725420951843
2009,Los Lagos,a,22.681227326393127,1.5880852937698364
2011,Los Lagos,a,21.33857011795044,1.2067834846675396
2013,Los Lagos,a,14.723414182662964,0.9410367347300053
2015,Los Lagos,a,13.689814507961273,0.6794306915253401
2017,Los Lagos,a,11.795271188020706,0.7299921475350857
2020,Los Lagos,a,14.661483466625214,0.854555144906044
2022,Los Lagos,a,9.03785526752472,0.6245729979127645
2024,Los Lagos,a,6.38478621840477,0.47396812587976456
2009,Aysén,a,18.497544527053833,2.4422669783234596
2011,Aysén,a,12.47747465968132,0.8567467331886292
2013,Aysén,a,8.026548475027084,0.7232991978526115
2015,Aysén,a,7.376930862665176,1.3509261421859264
2017,Aysén,a,6.15176297724247,0.9006923995912075
2020,Aysén,a,12.112972140312195,1.1583450250327587
2022,Aysén,a,5.567536875605583,0.7921595126390457
2024,Aysén,a,5.302039533853531,0.6911007221788168
2009,Magallanes,a,12.123103439807892,2.380393259227276
2011,Magallanes,a,8.306901156902313,0.8306603878736496
2013,Magallanes,a,6.930788606405258,1.4071508310735226
2015,Magallanes,a,6.325502693653107,0.7300692610442638
2017,Magallanes,a,4.7050077468156815,0.6791313644498587
2020,Magallanes,a,9.710528701543808,0.8566457778215408
2022,Magallanes,a,6.226753070950508,0.9387831203639507
2024,Magallanes,a,4.166416823863983,0.5266698077321053
